"","co_grupo","co_sub_grupo","co_forma_organizacao","co_procedimento","no_procedimento","tp_complexidade","tp_sexo","qt_maxima_execucao","qt_dias_permanencia","qt_pontos","vl_idade_minima","vl_idade_maxima","vl_servico_hospitalar","vl_servico_ambulatorial","vl_servico_profissional","qt_tempo_permanencia","no_grupo","no_sub_grupo","no_forma_organizacao"
"1","01","01","01","0101010010","ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA                                                                                                                                                                                             ","1","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Educação em saúde                                                                                   "
"2","01","01","01","0101010028","ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA                                                                                                                                                                                        ","2","I","9999","9999","0000","0084","1571","0000000000","0000000270","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Educação em saúde                                                                                   "
"3","01","01","01","0101010036","PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO                                                                                                                                                                                                              ","1","I","9999","9999","0000","0072","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Educação em saúde                                                                                   "
"4","01","01","01","0101010095","PREVENÇÃO DA COVID-19 NAS ESCOLAS                                                                                                                                                                                                                         ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Educação em saúde                                                                                   "
"5","01","01","01","0101010109","ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAMALÁRIA                                                                                                                                                                                             ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Educação em saúde                                                                                   "
"6","01","01","01","0101010117","ATIVIDADE DE EDUCAÇÃO PERMANENTE EM SAÚDE DO TRABALHADOR                                                                                                                                                                                                  ","2","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Educação em saúde                                                                                   "
"7","01","01","02","0101020015","AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL                                                                                                                                                                                                            ","1","I","9999","9999","0000","0048","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"8","01","01","02","0101020023","AÇÃO COLETIVA DE BOCHECHO FLUORADO                                                                                                                                                                                                                        ","1","I","9999","9999","0000","0084","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"9","01","01","02","0101020031","AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA                                                                                                                                                                                                          ","1","I","9999","9999","0000","0036","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"10","01","01","02","0101020040","AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA                                                                                                                                                                                                ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"11","01","01","02","0101020058","APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)                                                                                                                                                                                                                     ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"12","01","01","02","0101020066","APLICAÇÃO DE SELANTE (POR DENTE)                                                                                                                                                                                                                          ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"13","01","01","02","0101020074","APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)                                                                                                                                                                                                         ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"14","01","01","02","0101020082","EVIDENCIAÇÃO DE PLACA BACTERIANA                                                                                                                                                                                                                          ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"15","01","01","02","0101020090","SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA                                                                                                                                                                                                                 ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"16","01","01","02","0101020104","ORIENTAÇÃO DE HIGIENE BUCAL                                                                                                                                                                                                                               ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"17","01","01","02","0101020112","AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL                                                                                                                                                                                                                ","1","I","9999","9999","0000","0120","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"18","01","01","02","0101020120","ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS                                                                                                                                                                                                          ","1","I","9999","9999","0000","0120","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Saúde bucal                                                                                         "
"19","01","01","03","0101030010","VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO                                                                                                                                                                                                         ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Visita domiciliar                                                                                   "
"20","01","01","03","0101030029","VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR                                                                                                                                                                                        ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Visita domiciliar                                                                                   "
"21","01","01","04","0101040024","AVALIAÇÃO ANTROPOMÉTRICA                                                                                                                                                                                                                                  ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"22","01","01","04","0101040032","COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)                                                                                                                                                                                                             ","2","F","9999","9999","0000","0144","0599","0000000000","0000000300","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"23","01","01","04","0101040040","PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)                                                                                                                                                                                                             ","2","N","9999","9999","0000","9999","9999","0000000000","0000001106","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"24","01","01","04","0101040059","ADMINISTRAÇÃO DE VITAMINA A                                                                                                                                                                                                                               ","1","I","9999","9999","0000","0006","0599","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"25","01","01","04","0101040075","MEDIÇÃO DE ALTURA                                                                                                                                                                                                                                         ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"26","01","01","04","0101040083","MEDIÇÃO DE PESO                                                                                                                                                                                                                                           ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"27","01","01","04","0101040091","DISPENSAÇÃO DE SUPLEMENTO DE MICRONUTRIENTES EM PÓ - NUTRISUS                                                                                                                                                                                             ","1","I","9999","9999","0000","0006","0035","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"28","01","01","04","0101040105","DISPENSAÇÃO DE SUPLEMENTO DE ÁCIDO FÓLICO                                                                                                                                                                                                                 ","1","F","9999","9999","0000","0108","0731","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
